"","Airline","FareVar","FareSD","CorFareDifnDays"
"340","6E",1115187.51515152,1056.02439136202,-0.790234358651698
"341","6E",358207.176811594,598.504115952091,0.0101923850825562
"342","G8",10712805.9368421,3273.04230599638,-0.994343618418411
"343","G8",2879942.01573499,1697.03919098381,0.0382286716575391
"344","6E",83247.5151515152,288.526454855556,-0.978231976089037
"345","6E",94784.2142857143,307.870450491297,0.765444111121318
"346","6E",749.066666666667,27.3690823131991,0.466569474815843
"347","6E",120.333333333333,10.9696551146029,0
"348","6E",1669334.4,1292.02724429479,-0.942809041582063
"349","9W",3918652.49771441,1979.55866235745,-0.132075049671831
"350","9W",903763.677895922,950.664860976739,-0.452552911063535
"351","9W",1013813.89677509,1006.88325876195,-0.377084631227225
"352","AI",4410308.1143594,2100.07335928043,-0.27627404180111
"353","9W",489105.225166303,699.360583080219,-0.360676012947542
"354","9W",487621.718181818,698.299160948814,-0.486756234079466
"355","9W",730364.874061718,854.613874250657,0.338692044485161
"356","9W",678283.635630043,823.579768832408,-0.1943121535092
"357","9W",486234.031746032,697.304834162242,-0.742689937355461
"358","9W",146421.6,382.650754605293,-0.742391431906335
"359","AI",784051.816993464,885.467005028117,-0.432633735565265
"360","AI",1616360.85199005,1271.361810025,-0.372356010566476
"361","UK",454609.473401555,674.24733844603,-0.541721367128626
"362","9W",13907623.6746251,3729.29265070806,-0.470158061501566
"363","AI",5266875.50663938,2294.96743040928,-0.624092187193512
"364","9W",680134.873399175,824.70290007928,0.100528827397167
"365","9W",613765.103840683,783.431620398796,0.0899966478190814
"366","9W",2155227.35806681,1468.0692620128,-0.25338769314506
"367","9W",966724.266666667,983.22137215719,-0.456435464587638
"368","AI",329699.550599621,574.19469746735,0.184170610899391
"369","AI",778787.114146588,882.489158090108,-0.229763965038654
"370","AI",1736172.40540541,1317.63895108084,0.174733319095994
"371","AI",1135190.87044025,1065.45336380353,-0.4187515605526
"372","AI",242624.976356976,492.569768009544,-0.101840560163475
"373","UK",904291.674871795,950.942519225949,-0.368471951660513
