"","Arr","Dep","Airline","Curr_Time","FlightNo"
"505","CCU","DEL","9W","M",7140
"506","CCU","DEL","9W","E",7142
"507","CCU","DEL","AI","M",401
"508","CCU","DEL","AI","E",764
"509","CCU","DEL","AI","E",22
"510","HYD","DEL","9W","E",649
"511","HYD","DEL","AI","M",560
"512","HYD","DEL","AI","M",542
"513","HYD","DEL","AI","E",126
"514","HYD","DEL","AI","E",839
"515","HYD","DEL","UK","M",829
"516","HYD","DEL","UK","E",879
"517","MAA","DEL","9W","M",821
"518","MAA","DEL","9W","M",735
"519","MAA","DEL","9W","E",832
"520","MAA","DEL","AI","M",439
"521","MAA","DEL","AI","E",42
"522","MAA","DEL","AI","E",540
"523","PNQ","DEL","9W","M",7072
"524","PNQ","DEL","9W","M",365
"525","PNQ","DEL","9W","E",369
"526","PNQ","DEL","9W","E",367
"527","PNQ","DEL","AI","M",851
"528","PNQ","DEL","AI","E",853
"529","PNQ","DEL","AI","E",849
"530","PNQ","DEL","UK","E",991
"531","BLR","HYD","9W","M",2742
"532","BLR","HYD","9W","E",2802
"533","BLR","HYD","AI","M",515
"534","BLR","HYD","AI","M",978
"535","BLR","HYD","AI","E",514
"536","BOM","HYD","9W","M",458
"537","BOM","HYD","9W","E",7019
"538","BOM","HYD","9W","E",452
"539","BOM","HYD","9W","E",7080
"540","BOM","HYD","AI","M",620
"541","BOM","HYD","AI","M",616
"542","BOM","HYD","AI","E",618
"543","BOM","HYD","AI","E",51
"544","CCU","HYD","AI","M",525
"545","DEL","HYD","9W","M",644
"546","DEL","HYD","9W","E",650
"547","DEL","HYD","AI","M",543
"548","DEL","HYD","AI","M",559
"549","DEL","HYD","AI","E",127
"550","DEL","HYD","AI","E",541
"551","DEL","HYD","UK","M",830
"552","DEL","HYD","UK","E",870
"553","MAA","HYD","AI","M",988
"554","MAA","HYD","AI","E",546
"555","PNQ","HYD","9W","M",2822
"556","PNQ","HYD","9W","E",2574
"557","BLR","MAA","9W","M",2301
"558","BLR","MAA","9W","M",2753
"559","BLR","MAA","9W","E",2305
"560","BLR","MAA","9W","E",2307
"561","BLR","MAA","9W","E",2379
"562","BLR","MAA","9W","E",2309
"563","BOM","MAA","9W","M",7012
"564","BOM","MAA","9W","M",466
"565","BOM","MAA","9W","M",489
"566","BOM","MAA","9W","E",470
"567","BOM","MAA","9W","E",468
"568","BOM","MAA","AI","M",569
"569","BOM","MAA","AI","E",93
"570","CCU","MAA","9W","M",7152
"571","CCU","MAA","AI","E",766
"572","DEL","MAA","9W","M",822
"573","DEL","MAA","9W","E",830
"574","DEL","MAA","9W","E",831
"575","DEL","MAA","AI","M",440
"576","DEL","MAA","AI","M",430
"577","DEL","MAA","AI","M",143
"578","DEL","MAA","AI","E",43
"579","DEL","MAA","AI","E",539
"580","HYD","MAA","AI","E",987
"581","PNQ","MAA","9W","M",2491
"582","PNQ","MAA","9W","E",493
"583","BLR","PNQ","9W","M",7052
"584","BOM","PNQ","9W","E",617
"585","DEL","PNQ","9W","M",364
"586","DEL","PNQ","9W","M",374
"587","DEL","PNQ","9W","E",7071
"588","DEL","PNQ","AI","M",852
"589","DEL","PNQ","AI","E",854
"590","DEL","PNQ","AI","E",850
"591","DEL","PNQ","UK","E",992
"592","HYD","PNQ","9W","M",2573
"593","HYD","PNQ","9W","E",2821
"594","MAA","PNQ","9W","E",494
"595","AMD","BOM","9W","M",2001
"596","AMD","BOM","9W","M",7207
"597","AMD","BOM","9W","E",323
"598","AMD","BOM","9W","E",385
"599","BOM","AMD","9W","M",411
"600","BOM","AMD","9W","E",330
"601","BOM","GOI","9W","M",7144
"602","BOM","GOI","9W","M",496
"603","BOM","GOI","9W","M",2374
"604","BOM","GOI","9W","E",2385
"605","BOM","GOI","9W","E",427
"606","BOM","IDR","9W","M",7178
"607","BOM","IDR","9W","E",7045
"608","BOM","IXC","9W","E",472
"609","BOM","JAI","9W","M",2383
"610","BOM","JAI","9W","E",2054
"611","BOM","JAI","9W","E",454
"612","BOM","NAG","9W","E",7134
"613","BOM","VTZ","9W","E",980
"614","DEL","LKO","9W","M",2466
"615","DEL","LKO","9W","E",2638
"616","DEL","LKO","9W","E",7151
"617","GOI","BOM","9W","M",7147
"618","GOI","BOM","9W","M",446
"619","GOI","BOM","9W","E",426
"620","IDR","BOM","9W","M",7016
"621","IDR","BOM","9W","E",7103
"622","IXC","BOM","9W","M",489
"623","JAI","BOM","9W","M",2055
"624","JAI","BOM","9W","E",416
"625","LKO","DEL","9W","M",2457
